mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,picking_duration(s)
88,2,reshuffle,251,250,(3;9;7),(1;3;7),1705364694,1705364916,1494,1716,1716.0,1,0.0
89,3,target,250,250,(3;9;6),work station (Port 1),1705364496,1705364894,1296,1694,1694.0,1,2.0
90,1,return,250,250,work station (Port 1),(2;2;4),1705364906,1705364996,1706,1796,1796.0,1,0.0
91,7,reshuffle,114,112,(1;8;2),(1;7;6),1705364251,1705364406,1051,1206,1206.0,22,0.0
92,6,reshuffle,113,112,(1;8;1),(1;7;7),1705364341,1705364436,1141,1236,1236.0,22,0.0
93,4,target,112,112,(1;8;0),work station (Port 2),1705364376,1705364496,1176,1296,1296.0,22,44.0
94,0,return,112,112,work station (Port 2),(2;2;5),1705364886,1705365026,1686,1826,1826.0,22,0.0
95,8,reshuffle,279,276,(4;3;3),(1;8;0),1705364160,1705364441,960,1241,1241.0,14,0.0
96,9,reshuffle,278,276,(4;3;2),(1;8;1),1705364066,1705364471,866,1271,1271.0,14,0.0
97,7,reshuffle,277,276,(4;3;1),(1;8;2),1705364406,1705364541,1206,1341,1341.0,14,0.0
98,5,target,276,276,(4;3;0),work station (Port 3),1705364416,1705364576,1216,1376,1376.0,14,28.0
99,2,return,276,276,work station (Port 3),(2;2;6),1705364916,1705365056,1716,1856,1856.0,14,0.0
100,6,reshuffle,257,253,(3;10;5),(1;8;3),1705364436,1705364571,1236,1371,1371.0,10,0.0
101,8,reshuffle,256,253,(3;10;4),(1;8;4),1705364441,1705364601,1241,1401,1401.0,10,0.0
102,9,reshuffle,255,253,(3;10;3),(1;8;5),1705364471,1705364631,1271,1431,1431.0,10,0.0
103,4,reshuffle,254,253,(3;10;2),(1;8;6),1705364496,1705364661,1296,1461,1461.0,10,0.0
104,6,target,253,253,(3;10;1),work station (Port 2),1705364571,1705364736,1371,1536,1536.0,10,20.0
105,3,return,253,253,work station (Port 2),(2;2;7),1705364894,1705365086,1694,1886,1886.0,10,0.0
106,7,target,202,202,(3;1;1),work station (Port 3),1705364541,1705364676,1341,1476,1476.0,20,40.0
107,4,return,202,202,work station (Port 3),(3;1;1),1705364671,1705364816,1471,1616,1616.0,20,0.0
108,5,reshuffle,41,35,(0;6;7),(1;8;7),1705364576,1705364691,1376,1491,1491.0,20,0.0
109,8,reshuffle,40,35,(0;6;6),(1;9;7),1705364601,1705364726,1401,1526,1526.0,20,0.0
110,9,reshuffle,39,35,(0;6;5),(1;10;5),1705364631,1705364761,1431,1561,1561.0,20,0.0
111,5,reshuffle,38,35,(0;6;4),(1;10;6),1705364691,1705364791,1491,1591,1591.0,20,0.0
112,7,reshuffle,37,35,(0;6;3),(1;10;7),1705364676,1705364821,1476,1621,1621.0,20,0.0
113,8,reshuffle,36,35,(0;6;2),(2;3;6),1705364726,1705364851,1526,1651,1651.0,20,0.0
114,6,target,35,35,(0;6;1),work station (Port 2),1705364736,1705364896,1536,1696,1696.0,20,40.0
115,4,return,35,35,work station (Port 2),(3;1;2),1705364916,1705365036,1716,1836,1836.0,20,0.0
116,9,reshuffle,178,175,(2;7;6),(2;3;7),1705364761,1705364881,1561,1681,1681.0,23,0.0
117,5,reshuffle,177,175,(2;7;5),(2;4;4),1705364791,1705364886,1591,1686,1686.0,23,0.0
118,7,reshuffle,176,175,(2;7;4),(2;4;5),1705364821,1705364916,1621,1716,1716.0,23,0.0
119,8,target,175,175,(2;7;3),work station (Port 1),1705364851,1705364986,1651,1786,1786.0,23,46.0
120,1,return,175,175,work station (Port 1),(3;1;3),1705365012,1705365132,1812,1932,1932.0,23,0.0
121,5,reshuffle,398,396,(5;9;7),(2;4;6),1705364886,1705365026,1686,1826,1826.0,27,0.0
122,7,reshuffle,397,396,(5;9;6),(2;4;7),1705364916,1705365056,1716,1856,1856.0,27,0.0
123,6,target,396,396,(5;9;5),work station (Port 1),1705364896,1705365126,1696,1926,1926.0,27,54.0
124,0,return,396,396,work station (Port 1),(3;1;4),1705365160,1705365280,1960,2080,2080.0,27,0.0
125,9,target,135,135,(2;1;2),work station (Port 2),1705364881,1705364976,1681,1776,1776.0,26,52.0
126,8,return,135,135,work station (Port 2),(2;1;2),1705365038,1705365123,1838,1923,1923.0,26,0.0
127,2,reshuffle,348,344,(5;2;6),(2;1;3),1705365056,1705365153,1856,1953,1953.0,13,0.0
128,3,reshuffle,347,344,(5;2;5),(2;1;4),1705365086,1705365183,1886,1983,1983.0,13,0.0
129,4,reshuffle,346,344,(5;2;4),(2;1;5),1705365036,1705365213,1836,2013,2013.0,13,0.0
